Frequency (Hz)	V^2/Hz
1.275000E+06	3.509260E-17
1.321880E+06	4.026890E-17
1.378120E+06	3.807790E-17
1.425000E+06	4.009840E-17
1.471880E+06	4.163910E-17
1.575000E+06	4.199400E-17
1.621880E+06	3.829670E-17
1.678120E+06	4.311110E-17
1.771880E+06	4.106670E-17
1.828120E+06	4.118780E-17
1.921880E+06	4.015000E-17
2.025000E+06	4.287240E-17
2.128120E+06	4.147010E-17
2.221880E+06	4.430300E-17
2.278120E+06	4.030210E-17
2.371880E+06	3.646070E-17
2.521880E+06	4.753650E-17
2.625000E+06	4.341120E-17
2.728120E+06	4.147280E-17
2.878120E+06	4.175580E-17
2.971880E+06	4.672780E-17
3.121880E+06	5.049220E-17
3.271880E+06	4.789410E-17
3.375000E+06	4.506470E-17
3.525000E+06	4.816160E-17
3.721880E+06	4.819650E-17
3.871880E+06	4.431780E-17
4.021880E+06	4.435410E-17
4.228120E+06	4.172090E-17
4.425000E+06	4.068850E-17
4.575000E+06	4.483710E-17
4.771880E+06	4.302670E-17
5.025000E+06	4.092710E-17
5.221880E+06	4.648880E-17
5.475000E+06	4.237110E-17
5.728120E+06	3.988000E-17
5.971880E+06	4.086550E-17
6.225000E+06	3.716560E-17
6.478120E+06	3.840210E-17
6.778120E+06	3.623830E-17
7.078120E+06	3.987520E-17
7.425000E+06	3.595410E-17
7.725000E+06	4.164170E-17
8.071880E+06	4.333410E-17
8.428120E+06	3.967700E-17
8.821880E+06	4.495640E-17
9.178120E+06	4.082020E-17
9.571880E+06	4.057470E-17
1.002190E+07	4.314380E-17
1.047190E+07	3.748270E-17
1.092190E+07	4.242960E-17
1.142810E+07	4.520480E-17
1.192500E+07	4.599730E-17
1.242190E+07	4.090510E-17
1.302190E+07	4.496980E-17
1.357500E+07	4.643330E-17
1.417500E+07	4.148700E-17
1.482190E+07	4.314170E-17
1.547810E+07	4.308690E-17
1.612500E+07	3.993420E-17
1.687500E+07	3.541080E-17
1.762500E+07	4.162320E-17
1.837500E+07	4.797500E-17
1.917190E+07	5.880880E-17
